Value,Feature,importance,Min,Max,Scaler
51,Rare100bp,0.05782312925170068,0,0.05782312925170068,1
42,Freq100bp,0.047619047619047616,0,0.05782312925170068,0.823529412
37,Sngl100bp,0.04195011337868481,0,0.05782312925170068,0.725490196
33,ZooVerPhyloP,0.03741496598639456,0,0.05782312925170068,0.647058824
28,CCGR167_alt,0.031746031746031744,0,0.05782312925170068,0.549019608
23,Rare10000bp,0.026077097505668934,0,0.05782312925170068,0.450980392
23,gdi,0.026077097505668934,0,0.05782312925170068,0.450980392
22,MGW51_ref,0.024943310657596373,0,0.05782312925170068,0.431372549
21,priPhyloP,0.023809523809523808,0,0.05782312925170068,0.411764706
20,GerpN,0.022675736961451247,0,0.05782312925170068,0.392156863
18,GerpS,0.02040816326530612,0,0.05782312925170068,0.352941176
18,CGGT_diff,0.02040816326530612,0,0.05782312925170068,0.352941176
17,ACC_diff,0.01927437641723356,0,0.05782312925170068,0.333333333
16,MGW54_alt,0.018140589569160998,0,0.05782312925170068,0.31372549
13,AGGT_diff,0.01473922902494331,0,0.05782312925170068,0.254901961
13,SE1_diff,0.01473922902494331,0,0.05782312925170068,0.254901961
12,Dist2Mutation,0.013605442176870748,0,0.05782312925170068,0.235294118
12,Roll84_ref,0.013605442176870748,0,0.05782312925170068,0.235294118
12,TTTC_alt,0.013605442176870748,0,0.05782312925170068,0.235294118
11,Roll57_diff,0.012471655328798186,0,0.05782312925170068,0.215686275
10,Sngl1000bp,0.011337868480725623,0,0.05782312925170068,0.196078431
10,Freq10000bp,0.011337868480725623,0,0.05782312925170068,0.196078431
10,priPhCons,0.011337868480725623,0,0.05782312925170068,0.196078431
9,Roll52_ref,0.01020408163265306,0,0.05782312925170068,0.176470588
9,MMI_GG_ref,0.01020408163265306,0,0.05782312925170068,0.176470588
9,MMI_AAT_alt,0.01020408163265306,0,0.05782312925170068,0.176470588
9,PseKNC_TTG_diff,0.01020408163265306,0,0.05782312925170068,0.176470588
9,CCGR216_ref,0.01020408163265306,0,0.05782312925170068,0.176470588
8,RegSeq7,0.009070294784580499,0,0.05782312925170068,0.156862745
8,minDistTSE,0.009070294784580499,0,0.05782312925170068,0.156862745
8,HelT76_ref,0.009070294784580499,0,0.05782312925170068,0.156862745
8,GGTC_diff,0.009070294784580499,0,0.05782312925170068,0.156862745
8,ANF_46_ref,0.009070294784580499,0,0.05782312925170068,0.156862745
8,SCPseDNC_TG_diff,0.009070294784580499,0,0.05782312925170068,0.156862745
8,CCGR185_ref,0.009070294784580499,0,0.05782312925170068,0.156862745
8,SCCGR17_diff,0.009070294784580499,0,0.05782312925170068,0.156862745
7,bStatistic,0.007936507936507936,0,0.05782312925170068,0.137254902
7,GC,0.007936507936507936,0,0.05782312925170068,0.137254902
7,CpG,0.007936507936507936,0,0.05782312925170068,0.137254902
7,ProT1_ref,0.007936507936507936,0,0.05782312925170068,0.137254902
7,Roll56_ref,0.007936507936507936,0,0.05782312925170068,0.137254902
7,TGTG_ref,0.007936507936507936,0,0.05782312925170068,0.137254902
7,TTGG_ref,0.007936507936507936,0,0.05782312925170068,0.137254902
7,CTAT_alt,0.007936507936507936,0,0.05782312925170068,0.137254902
7,CCGR220_ref,0.007936507936507936,0,0.05782312925170068,0.137254902
